user_id,trip_id,transport_mode,min_speed,max_speed,mean_speed,median_speed,var_speed,stddev_speed
021,20070429083432,taxi,3.88033672057388e-06,0.00018096108316256648,6.335861314646769e-05,4.568507770442511e-05,2.649882580332362e-09,5.147701021166985e-05
021,20070429222711,car,1.4767163155272848e-07,0.006607164411114811,0.00022497496906103418,0.0002583034367534639,9.230040852933181e-08,0.00030380982296385976
021,20070501010311,car,4.182460049742029e-07,0.0006483722464013582,0.00017351328542602562,0.00014473988652929714,1.3848410516395692e-08,0.00011767926969689986
021,20070501010311,walk,8.857677177856978e-08,0.00023687784018467176,1.111639759785409e-05,9.079684119202274e-06,1.9812715265464126e-10,1.4075764727169933e-05
021,20070502000924,car,0.000177022048147552,0.0002194845569306088,0.00019567722664058984,0.00019310115074209932,3.6822975727700403e-10,1.9189313621831398e-05
021,20070502001318,car,4.543502394408903e-07,0.005706050621195549,0.0001706794042070622,0.0001029844984795936,3.9992084422673514e-07,0.0006323929508041144
021,20070502013107,car,9.738251590270407e-07,0.0002887953908526748,0.00011314726429000667,0.0001198119892231066,2.5266589871357154e-09,5.026588293401117e-05
021,20070502013107,walk,6.838128381114854e-07,0.0010955452883392267,2.0538920262918236e-05,6.566899827459443e-06,1.1781742630293281e-08,0.00010854373602513081
021,20070503005908,walk,6.289117871118472e-08,0.00019876159791866468,1.1746297782346682e-05,6.7697008418962385e-06,4.959219358530855e-10,2.226930479052019e-05
021,20070503235021,walk,3.881637666867534e-07,2.5834826722914905e-05,9.837597065200878e-06,1.048220124443067e-05,1.2075663093615864e-11,3.475005481091485e-06
056,20071010152332,bike,1.1331154472425608e-05,3.34073252852793e-05,2.1705527664218082e-05,2.121646775859616e-05,2.6760137622874896e-11,5.1730201645532855e-06
056,20071011011520,bike,4.133696289833501e-06,5.734092656168038e-05,3.633154529882861e-05,4.0015429122923985e-05,3.005926354097564e-10,1.7337607545730074e-05
056,20071012005537,bike,8.26931189747789e-06,7.845734861859624e-05,4.058839233339593e-05,3.935249009703583e-05,3.287049686997808e-10,1.813022252207018e-05
056,20071013074915,taxi,2.0579600168186393e-05,0.00016836633346561057,6.961319241696576e-05,5.349535894038664e-05,2.8974101666477418e-09,5.382759670139232e-05
056,20071013074915,walk,1.2668615832708887e-05,1.4666666679659101e-05,1.3508036636386275e-05,1.3444043979178144e-05,5.67900193695978e-13,7.535915297400695e-07
056,20071015011822,bike,8.098544274801418e-06,5.6961379567732394e-05,3.8298682378640394e-05,4.185301803769915e-05,1.5694148138497428e-10,1.2527628721548794e-05
056,20071015151105,bike,9.444444443336881e-06,0.0003019611823464922,5.985164687733745e-05,4.825152041736816e-05,3.4294909600681287e-09,5.856185584549151e-05
056,20071016012535,bike,5.890150893935048e-06,0.00041841300690352844,5.26123876352032e-05,4.4136190123518056e-05,5.117261861452711e-09,7.15350393964574e-05
056,20071017114917,taxi,4.397655354921286e-06,0.00040525102728919627,9.508959659100351e-05,7.270086478805259e-05,1.0850272690713692e-08,0.00010416464222908698
056,20071017114917,walk,1.4412173151152566e-07,2.0891123578341205e-05,1.1843845799314533e-05,1.2913309545788565e-05,3.7371918090895897e-11,6.113257567851685e-06
056,20071017150317,bike,8.084520847991135e-06,0.0001118033988734049,3.4910026681597466e-05,3.355630708569047e-05,1.9233957579060268e-10,1.3868654433311211e-05
056,20071017150317,walk,3.2637362519423886e-06,1.4471295833181005e-05,8.813575540034986e-06,7.816553817495665e-06,2.9498809553905515e-11,5.431280655048634e-06
056,20071018011140,bike,2.956989241909014e-06,8.544003745335042e-05,3.778786773242329e-05,4.005620477355378e-05,3.024715242751129e-10,1.7391708492126725e-05
056,20071018150939,bike,2.1044567954734275e-06,6.712803313104008e-05,2.3125787706885748e-05,2.409187374252882e-05,1.1006172420119305e-10,1.0491030654859085e-05
056,20071019010935,bike,6.839484583605264e-06,6.412997988263767e-05,3.819865282460367e-05,4.047927761405572e-05,2.9096851129358564e-10,1.705779913393242e-05
056,20071019052441,taxi,1.792114695002701e-06,0.00028046698273438665,8.774083061074145e-05,7.806806810643533e-05,4.313852317870036e-09,6.567992324805226e-05
056,20071019052441,walk,3.903200625839778e-07,7.682953714511649e-05,7.639640697136923e-06,7.156385634105856e-06,2.962454535606412e-11,5.4428434991338966e-06
056,20071022003737,bike,5.03076952145908e-06,5.941153846532992e-05,3.513043737611037e-05,3.456316671137839e-05,2.64771348949893e-10,1.6271796119356122e-05
056,20071023012640,bike,6.689774765076988e-06,6.081213192192093e-05,3.680726064261655e-05,4.198438537084288e-05,3.491456831952757e-10,1.8685440406778633e-05
056,20071023152135,bike,9.420289854672265e-06,7.86165094354106e-05,4.376843508903388e-05,5.3359368648088186e-05,4.665517096613576e-10,2.15998080931604e-05
